code,name,date,cumulative_cases,incidence,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R),slope,slopeLowerCi,slopeUpperCi,r_squared
E08000029,Solihull,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000027,Somerset,2020-03-07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000025,South Gloucestershire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000023,South Tyneside,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000045,Southampton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000033,Southend-on-Sea,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000028,Southwark,2020-03-07,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000013,St. Helens,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000028,Staffordshire,2020-03-07,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000007,Stockport,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000004,Stockton-on-Tees,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000021,Stoke-on-Trent,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000029,Suffolk,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000024,Sunderland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000030,Surrey,2020-03-07,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000029,Sutton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000030,Swindon,2020-03-07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000008,Tameside,2020-03-07,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000020,Telford and Wrekin,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000034,Thurrock,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000027,Torbay,2020-03-07,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000030,Tower Hamlets,2020-03-07,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000009,Trafford,2020-03-07,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000036,Wakefield,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000030,Walsall,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000031,Waltham Forest,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000032,Wandsworth,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000007,Warrington,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000031,Warwickshire,2020-03-07,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000037,West Berkshire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000032,West Sussex,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000033,Westminster,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000010,Wigan,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000054,Wiltshire,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000040,Windsor and Maidenhead,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000015,Wirral,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000041,Wokingham,2020-03-07,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E08000031,Wolverhampton,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E10000034,Worcestershire,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000014,York,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000015,Ayrshire and Arran,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000016,Borders,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000017,Dumfries and Galloway,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000029,Fife,2020-03-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000019,Forth Valley,2020-03-07,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000020,Grampian,2020-03-07,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000031,Greater Glasgow and Clyde,2020-03-07,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000022,Highland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000032,Lanarkshire,2020-03-07,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000024,Lothian,2020-03-07,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000026,Shetland,2020-03-07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08000030,Tayside,2020-03-07,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000002,Barking and Dagenham,2020-03-08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E09000003,Barnet,2020-03-08,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
